19:33:38       0.00M ops completed
19:37:11     281.40M ops completed
RAM Hit Ratio :  92.50%
19:37:14     285.07M ops completed
RAM Hit Ratio :  92.51%
19:37:17     288.76M ops completed
RAM Hit Ratio :  92.46%
19:37:20     292.43M ops completed
RAM Hit Ratio :  92.46%
19:37:23     296.11M ops completed
RAM Hit Ratio :  92.49%
19:37:26     299.80M ops completed
RAM Hit Ratio :  92.44%
19:37:29     303.47M ops completed
RAM Hit Ratio :  92.46%
19:37:32     307.16M ops completed
RAM Hit Ratio :  92.42%
19:37:35     310.83M ops completed
RAM Hit Ratio :  92.43%
19:37:38     314.52M ops completed
RAM Hit Ratio :  92.47%
19:37:41     318.21M ops completed
RAM Hit Ratio :  92.44%
19:37:44     321.89M ops completed
RAM Hit Ratio :  92.45%
19:37:47     325.58M ops completed
RAM Hit Ratio :  92.41%
19:37:50     329.25M ops completed
RAM Hit Ratio :  92.42%
19:37:53     332.94M ops completed
RAM Hit Ratio :  92.41%
19:37:56     336.63M ops completed
RAM Hit Ratio :  92.43%
19:37:59     340.32M ops completed
RAM Hit Ratio :  92.38%
19:38:02     344.00M ops completed
RAM Hit Ratio :  92.33%
19:38:05     347.69M ops completed
RAM Hit Ratio :  92.39%
19:38:08     351.39M ops completed
RAM Hit Ratio :  92.36%
19:38:11     355.08M ops completed
RAM Hit Ratio :  92.34%
19:38:14     358.78M ops completed
RAM Hit Ratio :  92.37%
19:38:17     362.47M ops completed
RAM Hit Ratio :  92.34%
19:38:20     366.17M ops completed
RAM Hit Ratio :  92.34%
19:38:23     369.86M ops completed
RAM Hit Ratio :  92.32%
19:38:26     373.56M ops completed
RAM Hit Ratio :  92.30%
19:38:29     377.26M ops completed
RAM Hit Ratio :  92.34%
19:38:32     380.95M ops completed
RAM Hit Ratio :  92.29%
19:38:35     384.65M ops completed
RAM Hit Ratio :  92.30%
19:38:38     388.33M ops completed
RAM Hit Ratio :  92.23%
19:38:41     392.03M ops completed
RAM Hit Ratio :  92.27%
19:38:44     395.72M ops completed
RAM Hit Ratio :  92.25%
19:38:47     399.40M ops completed
RAM Hit Ratio :  92.19%
